10
1989000000000000000000000000000.00	0.00	0.00	
330000000000000000000000.00	57900000000.00	47900.00	
4870000000000000000000000.00	108200000000.00	35000.00	
5970000000000000000000000.00	149600000000.00	29800.00	
642000000000000000000000.00	227900000000.00	24100.00	
1899000000000000000000000000.00	778600000000.00	13100.00	
568000000000000000000000000.00	1433500000000.00	9700.00	
86800000000000000000000000.00	2872500000000.00	6800.00	
102000000000000000000000000.00	4495100000000.00	5400.00	
12500000000000000000000.00	5870000000000.00	4700.00	
